Name,Category,Type,LGA,Tentative_Population,Priority_Tier,Latitude,Longitude,Navigation_Link
Unmapped Cluster (Ajaokuta - 7.5898),Settlement,hamlet,Ajaokuta,Low (<1k),2,7.5898174916432355,6.6505173722542406,"https://www.google.com/maps/search/?api=1&query=7.5898174916432355,6.6505173722542406"
Unmapped Cluster (Ajaokuta - 7.5868),Settlement,hamlet,Ajaokuta,Low (<1k),2,7.586805075778322,6.646327714139332,"https://www.google.com/maps/search/?api=1&query=7.586805075778322,6.646327714139332"
Unmapped Cluster (Ajaokuta - 7.5868),Settlement,hamlet,Ajaokuta,Low (<1k),2,7.58681043823006,6.650650220764979,"https://www.google.com/maps/search/?api=1&query=7.58681043823006,6.650650220764979"
Unmapped Cluster (Ajaokuta - 7.5927),Settlement,hamlet,Ajaokuta,Low (<1k),2,7.592702232236926,6.652164922562374,"https://www.google.com/maps/search/?api=1&query=7.592702232236926,6.652164922562374"
Unmapped Cluster (Ajaokuta - 7.5882),Settlement,hamlet,Ajaokuta,Low (<1k),2,7.588222122791786,6.654267669560356,"https://www.google.com/maps/search/?api=1&query=7.588222122791786,6.654267669560356"
Unmapped Cluster (Ajaokuta - 7.5950),Settlement,hamlet,Ajaokuta,Low (<1k),2,7.595081647507714,6.649321511638488,"https://www.google.com/maps/search/?api=1&query=7.595081647507714,6.649321511638488"
Unmapped Cluster (Ajaokuta - 7.5922),Settlement,hamlet,Ajaokuta,Low (<1k),2,7.592224107895482,6.649169005728095,"https://www.google.com/maps/search/?api=1&query=7.592224107895482,6.649169005728095"
Unmapped Cluster (Ajaokuta - 7.5949),Settlement,hamlet,Ajaokuta,Low (<1k),2,7.594966875777517,6.65056348728299,"https://www.google.com/maps/search/?api=1&query=7.594966875777517,6.65056348728299"
Unmapped Cluster (Ajaokuta - 7.5911),Settlement,hamlet,Ajaokuta,Low (<1k),2,7.591139468833822,6.602003400110616,"https://www.google.com/maps/search/?api=1&query=7.591139468833822,6.602003400110616"
Unmapped Cluster (Ajaokuta - 7.5941),Settlement,hamlet,Ajaokuta,Low (<1k),2,7.594166309239988,6.597573927632856,"https://www.google.com/maps/search/?api=1&query=7.594166309239988,6.597573927632856"
