Name,Category,Type,LGA,Tentative_Population,Priority_Tier,Latitude,Longitude,Navigation_Link
Loko,Settlement,village,Dekina,Medium (2k-10k),2,7.671806,7.28259,"https://www.google.com/maps/search/?api=1&query=7.671806,7.28259"
Odu Ologba,Settlement,village,Dekina,Medium (2k-10k),2,7.6280398,7.128871,"https://www.google.com/maps/search/?api=1&query=7.6280398,7.128871"
Odu,Settlement,village,Dekina,Medium (2k-10k),2,7.6280398,7.128871,"https://www.google.com/maps/search/?api=1&query=7.6280398,7.128871"
Ofanwa,Settlement,hamlet,Dekina,Low (<1k),3,7.54381,7.42566,"https://www.google.com/maps/search/?api=1&query=7.54381,7.42566"
Ofonwa,Settlement,hamlet,Dekina,Low (<1k),3,7.54381,7.42566,"https://www.google.com/maps/search/?api=1&query=7.54381,7.42566"
Ogbagbo,Settlement,village,Dekina,Medium (2k-10k),2,7.5345259,7.3366247,"https://www.google.com/maps/search/?api=1&query=7.5345259,7.3366247"
Ogbogbo,Settlement,village,Dekina,Medium (2k-10k),2,7.5345259,7.3366247,"https://www.google.com/maps/search/?api=1&query=7.5345259,7.3366247"
Ogbogido,Settlement,village,Dekina,Medium (2k-10k),2,7.5345259,7.3366247,"https://www.google.com/maps/search/?api=1&query=7.5345259,7.3366247"
Ogbogodo,Settlement,village,Dekina,Medium (2k-10k),2,7.5345259,7.3366247,"https://www.google.com/maps/search/?api=1&query=7.5345259,7.3366247"
Ogume,Settlement,town,Dekina,High (20k-50k),1,7.4731703,7.2489759,"https://www.google.com/maps/search/?api=1&query=7.4731703,7.2489759"
Okpakeri,Settlement,hamlet,Dekina,Low (<1k),3,7.653251,7.164218,"https://www.google.com/maps/search/?api=1&query=7.653251,7.164218"
Okpakiri,Settlement,hamlet,Dekina,Low (<1k),3,7.653251,7.164218,"https://www.google.com/maps/search/?api=1&query=7.653251,7.164218"
Ola Ogba,Settlement,village,Dekina,Medium (2k-10k),2,7.618529,7.22932,"https://www.google.com/maps/search/?api=1&query=7.618529,7.22932"
Ola,Settlement,hamlet,Dekina,Low (<1k),3,7.569139,7.442134,"https://www.google.com/maps/search/?api=1&query=7.569139,7.442134"
Olah,Settlement,hamlet,Dekina,Low (<1k),3,7.569139,7.442134,"https://www.google.com/maps/search/?api=1&query=7.569139,7.442134"
Olo,Settlement,hamlet,Dekina,Low (<1k),3,7.569139,7.442134,"https://www.google.com/maps/search/?api=1&query=7.569139,7.442134"
Ologba,Settlement,village,Dekina,Medium (2k-10k),2,7.618529,7.22932,"https://www.google.com/maps/search/?api=1&query=7.618529,7.22932"
Onukpo,Settlement,village,Dekina,Medium (2k-10k),2,7.634691,7.269938,"https://www.google.com/maps/search/?api=1&query=7.634691,7.269938"
Agojeju,Settlement,village,Dekina,Medium (2k-10k),2,7.706717,7.419267,"https://www.google.com/maps/search/?api=1&query=7.706717,7.419267"
Aloko,Settlement,village,Dekina,Medium (2k-10k),2,7.8005996,7.3205335,"https://www.google.com/maps/search/?api=1&query=7.8005996,7.3205335"
Egudi,Settlement,village,Dekina,Medium (2k-10k),2,7.8006261,7.3203457,"https://www.google.com/maps/search/?api=1&query=7.8006261,7.3203457"
Okura,Settlement,village,Dekina,Medium (2k-10k),2,7.4298999,7.3834406,"https://www.google.com/maps/search/?api=1&query=7.4298999,7.3834406"
Unmapped Cluster (Dekina - 7.4159),Settlement,town,Dekina,High (20k-50k),2,7.4159526,6.952117,"https://www.google.com/maps/search/?api=1&query=7.4159526,6.952117"
Adaigba,Settlement,village,Ibaji,Medium (2k-10k),2,6.6702475,6.6518883,"https://www.google.com/maps/search/?api=1&query=6.6702475,6.6518883"
Nwajala,Settlement,village,Ibaji,Medium (2k-10k),2,6.9138499,6.8028784,"https://www.google.com/maps/search/?api=1&query=6.9138499,6.8028784"
Utoduma,Settlement,village,Ibaji,Medium (2k-10k),2,6.933333,6.683333,"https://www.google.com/maps/search/?api=1&query=6.933333,6.683333"
Ejule,Settlement,village,Ibaji,Medium (2k-10k),2,6.95,6.833333,"https://www.google.com/maps/search/?api=1&query=6.95,6.833333"
Onyadega,Settlement,town,Ibaji,High (20k-50k),1,6.8804924,6.6763689,"https://www.google.com/maps/search/?api=1&query=6.8804924,6.6763689"
Odeke,Settlement,village,Ibaji,Medium (2k-10k),2,6.708048,6.799191,"https://www.google.com/maps/search/?api=1&query=6.708048,6.799191"
Irahun,Settlement,village,Ibaji,Medium (2k-10k),2,6.813524,6.661444,"https://www.google.com/maps/search/?api=1&query=6.813524,6.661444"
Ifeku Island,Settlement,village,Ibaji,Medium (2k-10k),2,6.7846406799241405,6.606267780275298,"https://www.google.com/maps/search/?api=1&query=6.7846406799241405,6.606267780275298"
Idah,Settlement,town,Idah,High (20k-50k),1,7.1099854,6.7340488,"https://www.google.com/maps/search/?api=1&query=7.1099854,6.7340488"
Ugwaka,Settlement,village,Igalamela-Odolu,Medium (2k-10k),2,6.946,7.2386,"https://www.google.com/maps/search/?api=1&query=6.946,7.2386"
Obedamagu,Settlement,village,Igalamela-Odolu,Medium (2k-10k),2,7.166667,7.016667,"https://www.google.com/maps/search/?api=1&query=7.166667,7.016667"
Obolimi,Settlement,village,Igalamela-Odolu,Medium (2k-10k),2,7.083333,7.2,"https://www.google.com/maps/search/?api=1&query=7.083333,7.2"
Odolu,Settlement,town,Igalamela-Odolu,High (20k-50k),1,6.9766085,7.162683,"https://www.google.com/maps/search/?api=1&query=6.9766085,7.162683"
Akpanya,Settlement,village,Igalamela-Odolu,Medium (2k-10k),2,7.015,7.2981,"https://www.google.com/maps/search/?api=1&query=7.015,7.2981"
Ogbogbo,Settlement,town,Igalamela-Odolu,High (20k-50k),1,7.1070879,6.8139181,"https://www.google.com/maps/search/?api=1&query=7.1070879,6.8139181"
Ajaka,Settlement,village,Igalamela-Odolu,Medium (2k-10k),2,7.1711,6.8265,"https://www.google.com/maps/search/?api=1&query=7.1711,6.8265"
Okokete,Settlement,village,Igalamela-Odolu,Medium (2k-10k),2,7.1,7.066667,"https://www.google.com/maps/search/?api=1&query=7.1,7.066667"
Akinia,Settlement,village,Igalamela-Odolu,Medium (2k-10k),2,7.033333,7.283333,"https://www.google.com/maps/search/?api=1&query=7.033333,7.283333"
Akpopo,Settlement,village,Igalamela-Odolu,Medium (2k-10k),2,7.216667,7.1,"https://www.google.com/maps/search/?api=1&query=7.216667,7.1"
Akopo,Settlement,village,Igalamela-Odolu,Medium (2k-10k),2,7.066667,7.066667,"https://www.google.com/maps/search/?api=1&query=7.066667,7.066667"
Oforachi,Settlement,village,Igalamela-Odolu,Medium (2k-10k),2,7.0927,6.8742,"https://www.google.com/maps/search/?api=1&query=7.0927,6.8742"
Ajitata,Settlement,village,Igalamela-Odolu,Medium (2k-10k),2,7.033333,7.05,"https://www.google.com/maps/search/?api=1&query=7.033333,7.05"
Ojigagala,Settlement,village,Igalamela-Odolu,Medium (2k-10k),2,7.0424,6.7372,"https://www.google.com/maps/search/?api=1&query=7.0424,6.7372"
Afagba,Settlement,village,Igalamela-Odolu,Medium (2k-10k),2,7.033333,7.116667,"https://www.google.com/maps/search/?api=1&query=7.033333,7.116667"
Alokura,Settlement,village,Igalamela-Odolu,Medium (2k-10k),2,7.233333,7.15,"https://www.google.com/maps/search/?api=1&query=7.233333,7.15"
Ibochi,Settlement,village,Igalamela-Odolu,Medium (2k-10k),2,7.116667,7.216667,"https://www.google.com/maps/search/?api=1&query=7.116667,7.216667"
Egabada,Settlement,village,Igalamela-Odolu,Medium (2k-10k),2,7.0435898,7.0181099,"https://www.google.com/maps/search/?api=1&query=7.0435898,7.0181099"
Ogbonicha,Settlement,village,Igalamela-Odolu,Medium (2k-10k),2,7.15,7.266667,"https://www.google.com/maps/search/?api=1&query=7.15,7.266667"
Agagba,Settlement,hamlet,Igalamela-Odolu,Low (<1k),3,7.249065,6.7866224,"https://www.google.com/maps/search/?api=1&query=7.249065,6.7866224"
Alode,Settlement,village,Igalamela-Odolu,Medium (2k-10k),2,7.116667,7.066667,"https://www.google.com/maps/search/?api=1&query=7.116667,7.066667"
Ugbobo,Settlement,village,Igalamela-Odolu,Medium (2k-10k),2,7.083333,7.333333,"https://www.google.com/maps/search/?api=1&query=7.083333,7.333333"
Odokoro,Settlement,village,Ijumu,Medium (2k-10k),2,7.9452945,5.997953,"https://www.google.com/maps/search/?api=1&query=7.9452945,5.997953"
Iyara,Settlement,village,Ijumu,Medium (2k-10k),2,7.8429885,5.9739825,"https://www.google.com/maps/search/?api=1&query=7.8429885,5.9739825"
Ekinrin,Settlement,village,Ijumu,Medium (2k-10k),2,7.8319125,5.8663525,"https://www.google.com/maps/search/?api=1&query=7.8319125,5.8663525"
Kakuma,Settlement,village,Ijumu,Medium (2k-10k),2,7.5831,6.0057,"https://www.google.com/maps/search/?api=1&query=7.5831,6.0057"
Igbagun,Settlement,village,Ijumu,Medium (2k-10k),2,7.8237125,5.742477,"https://www.google.com/maps/search/?api=1&query=7.8237125,5.742477"
Aiye,Settlement,village,Ijumu,Medium (2k-10k),2,7.7834465,5.8025965,"https://www.google.com/maps/search/?api=1&query=7.7834465,5.8025965"
Aiyedero,Settlement,village,Ijumu,Medium (2k-10k),2,8.116667,6.0,"https://www.google.com/maps/search/?api=1&query=8.116667,6.0"
Ayere,Settlement,village,Ijumu,Medium (2k-10k),2,7.7040235,5.971699,"https://www.google.com/maps/search/?api=1&query=7.7040235,5.971699"
Ogale,Settlement,village,Ijumu,Medium (2k-10k),2,7.6643,6.1063,"https://www.google.com/maps/search/?api=1&query=7.6643,6.1063"
Aiyetoro Gbede,Settlement,village,Ijumu,Medium (2k-10k),2,7.9823,5.9932,"https://www.google.com/maps/search/?api=1&query=7.9823,5.9932"
Egbedi,Settlement,village,Ijumu,Medium (2k-10k),2,7.696312,5.9769875,"https://www.google.com/maps/search/?api=1&query=7.696312,5.9769875"
Agbado,Settlement,village,Kabba/Bunu,Medium (2k-10k),2,7.9185,6.2681,"https://www.google.com/maps/search/?api=1&query=7.9185,6.2681"
Junyura,Settlement,village,Kabba/Bunu,Medium (2k-10k),2,8.378094,6.2714104,"https://www.google.com/maps/search/?api=1&query=8.378094,6.2714104"
Shado,Settlement,village,Kabba/Bunu,Medium (2k-10k),2,8.3,6.283333,"https://www.google.com/maps/search/?api=1&query=8.3,6.283333"
Eluke,Settlement,village,Kabba/Bunu,Medium (2k-10k),2,8.15,6.1,"https://www.google.com/maps/search/?api=1&query=8.15,6.1"
Akutukpa,Settlement,village,Kabba/Bunu,Medium (2k-10k),2,8.2850105,6.2598435,"https://www.google.com/maps/search/?api=1&query=8.2850105,6.2598435"
Akitikpa,Settlement,village,Kabba/Bunu,Medium (2k-10k),2,8.2815069,6.262354,"https://www.google.com/maps/search/?api=1&query=8.2815069,6.262354"
Oduape,Settlement,village,Kabba/Bunu,Medium (2k-10k),2,7.8965,6.2057,"https://www.google.com/maps/search/?api=1&query=7.8965,6.2057"
Idoyi,Settlement,village,Kabba/Bunu,Medium (2k-10k),2,8.066667,6.066667,"https://www.google.com/maps/search/?api=1&query=8.066667,6.066667"
Gero,Settlement,village,Kabba/Bunu,Medium (2k-10k),2,8.25,6.25,"https://www.google.com/maps/search/?api=1&query=8.25,6.25"
Ike,Settlement,village,Kabba/Bunu,Medium (2k-10k),2,8.3418723,6.2770092,"https://www.google.com/maps/search/?api=1&query=8.3418723,6.2770092"
Gbeleko,Settlement,village,Kabba/Bunu,Medium (2k-10k),2,7.7592,6.113,"https://www.google.com/maps/search/?api=1&query=7.7592,6.113"
Kabba,Settlement,village,Kabba/Bunu,Medium (2k-10k),2,7.8287285,6.0731,"https://www.google.com/maps/search/?api=1&query=7.8287285,6.0731"
Taki,Settlement,village,Kabba/Bunu,Medium (2k-10k),2,8.3287812,6.1111875,"https://www.google.com/maps/search/?api=1&query=8.3287812,6.1111875"
Guguriji,Settlement,hamlet,Kabba/Bunu,Low (<1k),3,8.3896628,6.1565521,"https://www.google.com/maps/search/?api=1&query=8.3896628,6.1565521"
Akitipa,Settlement,village,Kabba/Bunu,Medium (2k-10k),2,8.2822288,6.2624398,"https://www.google.com/maps/search/?api=1&query=8.2822288,6.2624398"
Ofere,Settlement,village,Kabba/Bunu,Medium (2k-10k),2,8.183333,6.15,"https://www.google.com/maps/search/?api=1&query=8.183333,6.15"
Orei,Settlement,village,Kogi,Medium (2k-10k),2,8.216667,6.8,"https://www.google.com/maps/search/?api=1&query=8.216667,6.8"
Aciol,Settlement,village,Kogi,Medium (2k-10k),2,8.2,6.8,"https://www.google.com/maps/search/?api=1&query=8.2,6.8"
Agidi,Settlement,village,Kogi,Medium (2k-10k),2,8.2000007,6.8000161,"https://www.google.com/maps/search/?api=1&query=8.2000007,6.8000161"
Arugaga,Settlement,village,Kogi,Medium (2k-10k),2,7.9834897,6.7996459,"https://www.google.com/maps/search/?api=1&query=7.9834897,6.7996459"
Uhyana,Settlement,village,Kogi,Medium (2k-10k),2,8.183333,6.8,"https://www.google.com/maps/search/?api=1&query=8.183333,6.8"
Zagana,Settlement,village,Kogi,Medium (2k-10k),2,7.9343435,6.9568208,"https://www.google.com/maps/search/?api=1&query=7.9343435,6.9568208"
Ozahi,Settlement,village,Kogi,Medium (2k-10k),2,8.166667,6.75,"https://www.google.com/maps/search/?api=1&query=8.166667,6.75"
Akpasi,Settlement,village,Kogi,Medium (2k-10k),2,8.2499293,6.833056,"https://www.google.com/maps/search/?api=1&query=8.2499293,6.833056"
Rakpaku,Settlement,village,Kogi,Medium (2k-10k),2,8.166667,6.766667,"https://www.google.com/maps/search/?api=1&query=8.166667,6.766667"
Gegu,Settlement,village,Kogi,Medium (2k-10k),2,8.2475762,6.825055,"https://www.google.com/maps/search/?api=1&query=8.2475762,6.825055"
Yashiyali,Settlement,village,Kogi,Medium (2k-10k),2,7.9542325,6.7936555,"https://www.google.com/maps/search/?api=1&query=7.9542325,6.7936555"
Koton Karifi,Settlement,village,Kogi,Medium (2k-10k),2,8.0977057,6.7974895,"https://www.google.com/maps/search/?api=1&query=8.0977057,6.7974895"
Gbanyada,Settlement,village,Kogi,Medium (2k-10k),2,7.9699947,6.9185894,"https://www.google.com/maps/search/?api=1&query=7.9699947,6.9185894"
Adanouy,Settlement,village,Kogi,Medium (2k-10k),2,7.8928318,6.8577598,"https://www.google.com/maps/search/?api=1&query=7.8928318,6.8577598"
Oji,Settlement,village,Kogi,Medium (2k-10k),2,8.15,6.783333,"https://www.google.com/maps/search/?api=1&query=8.15,6.783333"
Bogboru,Settlement,village,Kogi,Medium (2k-10k),2,8.2,6.75,"https://www.google.com/maps/search/?api=1&query=8.2,6.75"
Zokoja,Settlement,village,Lokoja,Medium (2k-10k),2,7.802359,6.7430045,"https://www.google.com/maps/search/?api=1&query=7.802359,6.7430045"
Filele,Settlement,village,Lokoja,Medium (2k-10k),2,7.8518,6.7241,"https://www.google.com/maps/search/?api=1&query=7.8518,6.7241"
Lanza,Settlement,hamlet,Lokoja,Low (<1k),3,8.565724,6.2213731,"https://www.google.com/maps/search/?api=1&query=8.565724,6.2213731"
Eki,Settlement,hamlet,Lokoja,Low (<1k),3,8.6268262,6.2775483,"https://www.google.com/maps/search/?api=1&query=8.6268262,6.2775483"
Agbaja,Settlement,village,Lokoja,Medium (2k-10k),2,7.9892489,6.6416941,"https://www.google.com/maps/search/?api=1&query=7.9892489,6.6416941"
Budon,Settlement,village,Lokoja,Medium (2k-10k),2,8.3405727,6.5335476,"https://www.google.com/maps/search/?api=1&query=8.3405727,6.5335476"
Ahuji,Settlement,village,Lokoja,Medium (2k-10k),2,8.5636325,6.2456126,"https://www.google.com/maps/search/?api=1&query=8.5636325,6.2456126"
Kukaragi,Settlement,hamlet,Lokoja,Low (<1k),3,8.6862072,6.2987019,"https://www.google.com/maps/search/?api=1&query=8.6862072,6.2987019"
Yanemi,Settlement,village,Lokoja,Medium (2k-10k),2,7.9866945,6.7484075,"https://www.google.com/maps/search/?api=1&query=7.9866945,6.7484075"
Felelen Buzu,Settlement,village,Lokoja,Medium (2k-10k),2,7.8517957,6.7241235,"https://www.google.com/maps/search/?api=1&query=7.8517957,6.7241235"
Agodo,Settlement,village,Lokoja,Medium (2k-10k),2,8.1482237,6.6974921,"https://www.google.com/maps/search/?api=1&query=8.1482237,6.6974921"
Yekaraji,Settlement,hamlet,Lokoja,Low (<1k),3,8.6039274,6.2816628,"https://www.google.com/maps/search/?api=1&query=8.6039274,6.2816628"
Adana,Settlement,village,Lokoja,Medium (2k-10k),2,7.9833224,6.7666764,"https://www.google.com/maps/search/?api=1&query=7.9833224,6.7666764"
Numai,Settlement,village,Lokoja,Medium (2k-10k),2,7.816667,6.766667,"https://www.google.com/maps/search/?api=1&query=7.816667,6.766667"
Bagi,Settlement,village,Lokoja,Medium (2k-10k),2,8.5359202,6.2372257,"https://www.google.com/maps/search/?api=1&query=8.5359202,6.2372257"
Emu,Settlement,village,Lokoja,Medium (2k-10k),2,7.9755,6.6139,"https://www.google.com/maps/search/?api=1&query=7.9755,6.6139"
Kapu,Settlement,village,Lokoja,Medium (2k-10k),2,8.6433673,6.3022316,"https://www.google.com/maps/search/?api=1&query=8.6433673,6.3022316"
Ebo,Settlement,village,Lokoja,Medium (2k-10k),2,8.5998959,6.3309427,"https://www.google.com/maps/search/?api=1&query=8.5998959,6.3309427"
Eggan,Settlement,town,Lokoja,High (20k-50k),1,8.7081154,6.2990327,"https://www.google.com/maps/search/?api=1&query=8.7081154,6.2990327"
Denbor,Settlement,village,Lokoja,Medium (2k-10k),2,8.5309671,6.4210404,"https://www.google.com/maps/search/?api=1&query=8.5309671,6.4210404"
Lokoja,Settlement,town,Lokoja,Confirmed: 90000,1,7.802355,6.7430327,"https://www.google.com/maps/search/?api=1&query=7.802355,6.7430327"
Jamata,Settlement,village,Lokoja,Medium (2k-10k),2,8.0646722,6.7654539,"https://www.google.com/maps/search/?api=1&query=8.0646722,6.7654539"
Gwachi,Settlement,village,Lokoja,Medium (2k-10k),2,8.4872251,6.2309964,"https://www.google.com/maps/search/?api=1&query=8.4872251,6.2309964"
Losuta,Settlement,hamlet,Lokoja,Low (<1k),3,8.4629225,6.3518532,"https://www.google.com/maps/search/?api=1&query=8.4629225,6.3518532"
Ageni,Settlement,village,Lokoja,Medium (2k-10k),2,8.6122358,6.3252566,"https://www.google.com/maps/search/?api=1&query=8.6122358,6.3252566"
Gunji Twaki,Settlement,village,Lokoja,Medium (2k-10k),2,8.7037331,6.3207654,"https://www.google.com/maps/search/?api=1&query=8.7037331,6.3207654"
Sunawa,Settlement,town,Lokoja,High (20k-50k),1,8.4138311,6.4325968,"https://www.google.com/maps/search/?api=1&query=8.4138311,6.4325968"
Gogoro,Settlement,village,Lokoja,Medium (2k-10k),2,8.0713917,6.7660064,"https://www.google.com/maps/search/?api=1&query=8.0713917,6.7660064"
Batake,Settlement,village,Lokoja,Medium (2k-10k),2,8.4573064,6.366834,"https://www.google.com/maps/search/?api=1&query=8.4573064,6.366834"
Unmapped Cluster (Lokoja - 8.3178),Settlement,hamlet,Lokoja,Low (<1k),2,8.3178646,6.4988943,"https://www.google.com/maps/search/?api=1&query=8.3178646,6.4988943"
Unmapped Cluster (Lokoja - 8.5844),Settlement,hamlet,Lokoja,Low (<1k),2,8.584424,6.2916023,"https://www.google.com/maps/search/?api=1&query=8.584424,6.2916023"
Unmapped Cluster (Lokoja - 8.5796),Settlement,village,Lokoja,Medium (2k-10k),2,8.5796094,6.2959901,"https://www.google.com/maps/search/?api=1&query=8.5796094,6.2959901"
Mami,Settlement,village,Lokoja,Medium (2k-10k),2,8.4905182,6.3264522,"https://www.google.com/maps/search/?api=1&query=8.4905182,6.3264522"
Unmapped Cluster (Lokoja - 8.5499),Settlement,hamlet,Lokoja,Low (<1k),2,8.549947,6.2655553,"https://www.google.com/maps/search/?api=1&query=8.549947,6.2655553"
Unmapped Cluster (Lokoja - 8.5496),Settlement,village,Lokoja,Medium (2k-10k),2,8.5496911,6.2615253,"https://www.google.com/maps/search/?api=1&query=8.5496911,6.2615253"
Unmapped Cluster (Lokoja - 8.5291),Settlement,village,Lokoja,Medium (2k-10k),2,8.529161,6.2918081,"https://www.google.com/maps/search/?api=1&query=8.529161,6.2918081"
Unmapped Cluster (Lokoja - 8.5181),Settlement,village,Lokoja,Medium (2k-10k),2,8.518111,6.3003573,"https://www.google.com/maps/search/?api=1&query=8.518111,6.3003573"
Unmapped Cluster (Lokoja - 8.5021),Settlement,hamlet,Lokoja,Low (<1k),2,8.5021796,6.3143641,"https://www.google.com/maps/search/?api=1&query=8.5021796,6.3143641"
Unmapped Cluster (Lokoja - 8.6411),Settlement,hamlet,Lokoja,Low (<1k),2,8.6411022,6.2641959,"https://www.google.com/maps/search/?api=1&query=8.6411022,6.2641959"
Unmapped Cluster (Lokoja - 8.4427),Settlement,hamlet,Lokoja,Low (<1k),2,8.4427685,6.3872991,"https://www.google.com/maps/search/?api=1&query=8.4427685,6.3872991"
Unmapped Cluster (Lokoja - 8.3373),Settlement,hamlet,Lokoja,Low (<1k),2,8.3373485,6.5258731,"https://www.google.com/maps/search/?api=1&query=8.3373485,6.5258731"
Unmapped Cluster (Lokoja - 8.3363),Settlement,hamlet,Lokoja,Low (<1k),2,8.3363173,6.5211535,"https://www.google.com/maps/search/?api=1&query=8.3363173,6.5211535"
Unmapped Cluster (Lokoja - 8.3355),Settlement,hamlet,Lokoja,Low (<1k),2,8.3355109,6.5483733,"https://www.google.com/maps/search/?api=1&query=8.3355109,6.5483733"
Unmapped Cluster (Lokoja - 8.3312),Settlement,hamlet,Lokoja,Low (<1k),2,8.3312089,6.5472092,"https://www.google.com/maps/search/?api=1&query=8.3312089,6.5472092"
Unmapped Cluster (Lokoja - 8.3276),Settlement,hamlet,Lokoja,Low (<1k),2,8.3276104,6.5455999,"https://www.google.com/maps/search/?api=1&query=8.3276104,6.5455999"
Unmapped Cluster (Lokoja - 8.3216),Settlement,village,Lokoja,Medium (2k-10k),2,8.3216454,6.5191734,"https://www.google.com/maps/search/?api=1&query=8.3216454,6.5191734"
Unmapped Cluster (Lokoja - 8.3275),Settlement,hamlet,Lokoja,Low (<1k),2,8.3275956,6.5143079,"https://www.google.com/maps/search/?api=1&query=8.3275956,6.5143079"
Unmapped Cluster (Lokoja - 8.3150),Settlement,hamlet,Lokoja,Low (<1k),2,8.3150674,6.4953944,"https://www.google.com/maps/search/?api=1&query=8.3150674,6.4953944"
Unmapped Cluster (Lokoja - 8.3147),Settlement,hamlet,Lokoja,Low (<1k),2,8.3147726,6.4940034,"https://www.google.com/maps/search/?api=1&query=8.3147726,6.4940034"
Unmapped Cluster (Lokoja - 8.3150),Settlement,hamlet,Lokoja,Low (<1k),2,8.315016,6.49182,"https://www.google.com/maps/search/?api=1&query=8.315016,6.49182"
Unmapped Cluster (Lokoja - 8.3137),Settlement,hamlet,Lokoja,Low (<1k),2,8.3137956,6.492237,"https://www.google.com/maps/search/?api=1&query=8.3137956,6.492237"
Unmapped Cluster (Lokoja - 8.3098),Settlement,hamlet,Lokoja,Low (<1k),2,8.3098805,6.4941781,"https://www.google.com/maps/search/?api=1&query=8.3098805,6.4941781"
Unmapped Cluster (Lokoja - 8.3134),Settlement,hamlet,Lokoja,Low (<1k),2,8.3134886,6.4938509,"https://www.google.com/maps/search/?api=1&query=8.3134886,6.4938509"
Unmapped Cluster (Lokoja - 8.3273),Settlement,hamlet,Lokoja,Low (<1k),2,8.3273355,6.4790797,"https://www.google.com/maps/search/?api=1&query=8.3273355,6.4790797"
Unmapped Cluster (Lokoja - 8.3218),Settlement,hamlet,Lokoja,Low (<1k),2,8.3218869,6.4774919,"https://www.google.com/maps/search/?api=1&query=8.3218869,6.4774919"
Unmapped Cluster (Lokoja - 8.3175),Settlement,village,Lokoja,Medium (2k-10k),2,8.3175318,6.4939445,"https://www.google.com/maps/search/?api=1&query=8.3175318,6.4939445"
Unmapped Cluster (Lokoja - 8.3199),Settlement,hamlet,Lokoja,Low (<1k),2,8.3199469,6.5147397,"https://www.google.com/maps/search/?api=1&query=8.3199469,6.5147397"
Unmapped Cluster (Lokoja - 8.6859),Settlement,hamlet,Lokoja,Low (<1k),2,8.685970296184902,6.298273810303527,"https://www.google.com/maps/search/?api=1&query=8.685970296184902,6.298273810303527"
Unmapped Cluster (Lokoja - 8.6434),Settlement,village,Lokoja,Medium (2k-10k),2,8.643472559421065,6.301325815677987,"https://www.google.com/maps/search/?api=1&query=8.643472559421065,6.301325815677987"
Amuro,Settlement,village,Mopa-Muro,Medium (2k-10k),2,8.166667,5.9,"https://www.google.com/maps/search/?api=1&query=8.166667,5.9"
Takete Ide,Settlement,village,Mopa-Muro,Medium (2k-10k),2,8.166667,6.033333,"https://www.google.com/maps/search/?api=1&query=8.166667,6.033333"
Orokere,Settlement,village,Mopa-Muro,Medium (2k-10k),2,8.166667,5.95,"https://www.google.com/maps/search/?api=1&query=8.166667,5.95"
Ijagbe,Settlement,village,Mopa-Muro,Medium (2k-10k),2,8.183333,5.883333,"https://www.google.com/maps/search/?api=1&query=8.183333,5.883333"
Takete,Settlement,village,Mopa-Muro,Medium (2k-10k),2,8.15,5.783333,"https://www.google.com/maps/search/?api=1&query=8.15,5.783333"
Ijowa,Settlement,village,Mopa-Muro,Medium (2k-10k),2,8.233333,5.85,"https://www.google.com/maps/search/?api=1&query=8.233333,5.85"
Mopa,Settlement,village,Mopa-Muro,Medium (2k-10k),2,8.1,5.9,"https://www.google.com/maps/search/?api=1&query=8.1,5.9"
Ilai,Settlement,village,Mopa-Muro,Medium (2k-10k),2,8.016667,5.833333,"https://www.google.com/maps/search/?api=1&query=8.016667,5.833333"
Ofokopi,Settlement,village,Ofu,Medium (2k-10k),2,7.2785,6.973673,"https://www.google.com/maps/search/?api=1&query=7.2785,6.973673"
Chikoro,Settlement,village,Ofu,Medium (2k-10k),2,7.333333,7.233333,"https://www.google.com/maps/search/?api=1&query=7.333333,7.233333"
Ejikulu,Settlement,village,Ofu,Medium (2k-10k),2,7.25,7.15,"https://www.google.com/maps/search/?api=1&query=7.25,7.15"
Agojeju,Settlement,village,Ofu,Medium (2k-10k),2,7.311,7.1195,"https://www.google.com/maps/search/?api=1&query=7.311,7.1195"
Ogwonichi,Settlement,village,Ofu,Medium (2k-10k),2,7.233333,7.316667,"https://www.google.com/maps/search/?api=1&query=7.233333,7.316667"
Ugwolawo,Settlement,town,Ofu,High (20k-50k),1,7.2334803,6.9208123,"https://www.google.com/maps/search/?api=1&query=7.2334803,6.9208123"
Alloma,Settlement,village,Ofu,Medium (2k-10k),2,7.3189,7.2323,"https://www.google.com/maps/search/?api=1&query=7.3189,7.2323"
Ejule,Settlement,town,Ofu,High (20k-50k),1,7.3588,7.0994,"https://www.google.com/maps/search/?api=1&query=7.3588,7.0994"
Egbola,Settlement,village,Ofu,Medium (2k-10k),2,7.3096,6.7813,"https://www.google.com/maps/search/?api=1&query=7.3096,6.7813"
Akunuba,Settlement,hamlet,Ofu,Low (<1k),3,7.3624258,6.7906413,"https://www.google.com/maps/search/?api=1&query=7.3624258,6.7906413"
Okpo,Settlement,village,Ofu,Medium (2k-10k),2,7.2806894,6.7338691,"https://www.google.com/maps/search/?api=1&query=7.2806894,6.7338691"
Adoma,Settlement,village,Ofu,Medium (2k-10k),2,7.4284,6.8102,"https://www.google.com/maps/search/?api=1&query=7.4284,6.8102"
Egomicha,Settlement,village,Ofu,Medium (2k-10k),2,7.435987,6.801504,"https://www.google.com/maps/search/?api=1&query=7.435987,6.801504"
Ayanka,Settlement,village,Ofu,Medium (2k-10k),2,7.4336365,6.7521991,"https://www.google.com/maps/search/?api=1&query=7.4336365,6.7521991"
Bugobi,Settlement,village,Ofu,Medium (2k-10k),2,7.3,7.283333,"https://www.google.com/maps/search/?api=1&query=7.3,7.283333"
